
AvgTime(ms)	NodeCount	EdgeCount	Algorithm
0.023454365118105	10	9	Prims
0.019273333370433	10	9	Kruskal
0.029327842810147	10	18	Prims
0.041273887447915	10	18	Kruskal
0.029919914549573	10	27	Prims
0.05873948029063	10	27	Kruskal
0.029062583853007	10	36	Prims
0.077393634410107	10	36	Kruskal
0.03009754759505	10	45	Prims
0.10508437622474	10	45	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
0.11158686178072	20	38	Prims
0.1005881090906	20	38	Kruskal
0.11684820705047	20	76	Prims
0.20920076561127	20	76	Kruskal
0.12087814409413	20	114	Prims
0.31978377798361	20	114	Kruskal
0.12192774853926	20	152	Prims
0.45760890315237	20	152	Kruskal
0.12240726932585	20	190	Prims
0.55233675562693	20	190	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
0.25685074868516	30	87	Prims
0.26030838126021	30	87	Kruskal
0.25559795486654	30	174	Prims
0.54577429705388	30	174	Kruskal
0.25418221132515	30	261	Prims
0.82115856949307	30	261	Kruskal
0.25946933592381	30	348	Prims
1.1370344165279	30	348	Kruskal
0.25978296179986	30	435	Prims
1.4860636340917	30	435	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
0.4480963325825	40	156	Prims
0.50494848720489	40	156	Kruskal
0.47703270352954	40	312	Prims
1.0729989715444	40	312	Kruskal
0.45515592667706	40	468	Prims
1.6532351654602	40	468	Kruskal
0.4507713650398	40	624	Prims
2.2766885105005	40	624	Kruskal
0.46026705690504	40	780	Prims
2.8692485026947	40	780	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
0.67596983735579	50	245	Prims
0.86103988877708	50	245	Kruskal
0.69345576316582	50	490	Prims
1.7663358116116	50	490	Kruskal
0.69514434244561	50	735	Prims
2.6911863709559	50	735	Kruskal
0.7077705459252	50	980	Prims
3.749254204987	50	980	Kruskal
0.72335864215325	50	1225	Prims
4.9776938193457	50	1225	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
1.021769447935	60	354	Prims
1.3048689919251	60	354	Kruskal
0.9900450783869	60	708	Prims
2.7176045336902	60	708	Kruskal
1.011814495157	60	1062	Prims
4.1951769346417	60	1062	Kruskal
1.0118327032698	60	1416	Prims
5.9660069283597	60	1416	Kruskal
0.99658043485299	60	1770	Prims
7.2471015624774	60	1770	Kruskal

AvgTime(ms)	NodeCount	EdgeCount	Algorithm
1.3809128315827	70	483	Prims
1.8668861684042	70	483	Kruskal
1.4099854485111	70	966	Prims
4.0072620733872	70	966	Kruskal
1.4179194326143	70	1449	Prims
5.9366733833934	70	1449	Kruskal
1.4058211353782	70	1932	Prims
